t, temp, trot, tvib_1, tvib_2, tvib_3, tvib_4
0.0, 9999.999999999998, 7500.000000000001, 5000.000536932821, 5000.000000502961, 5000.000306532428, 5000.000000425695
1.001001001001001e-08, 9772.384182027421, 7553.010267405161, 5054.545080979879, 5035.623436390709, 5027.336762883862, 5021.327918728882
2.002002002002002e-08, 9561.347574721223, 7599.74616878416, 5105.57813325174, 5069.127362578806, 5053.069675223061, 5041.450269281163
3.003003003003003e-08, 9365.477723752208, 7640.784196667414, 5153.393124616984, 5100.683820541028, 5077.3312327370295, 5060.464858690106
4.004004004004004e-08, 9183.50182655676, 7676.642596076595, 5198.253628703994, 5130.448022545155, 5100.240489911169, 5078.459967254312
5.005005005005005e-08, 9014.27082877689, 7707.788085808531, 5240.3969594268, 5158.560265954956, 5121.904886361309, 5095.515425237609
6.006006006006006e-08, 8856.745567602908, 7734.64170615036, 5280.037262500064, 5185.147599703848, 5142.421565897883, 5111.703551088575
7.007007007007007e-08, 8709.984670132271, 7757.583918425729, 5317.368183304035, 5210.325278781641, 5161.878524591307, 5127.0899713098315
8.008008008008008e-08, 8573.133960317416, 7776.9590621608595, 5352.56517800743, 5234.198036858573, 5180.355612707943, 5141.734338598198
9.00900900900901e-08, 8445.417165873507, 7793.0792593615415, 5385.787522733908, 5256.861202452476, 5197.925411376303, 5155.690962317276
1.001001001001001e-07, 8326.127748041756, 7806.227841806644, 5417.18006594718, 5278.401680134766, 5214.654001545038, 5169.009363232451
1.1011011011011011e-07, 8214.621703473591, 7816.662365905807, 5446.874761539431, 5298.898815018427, 5230.601640069357, 5181.734762657548
1.2012012012012013e-07, 8110.311209622392, 7824.617270146513, 5474.992013904017, 5318.425156055907, 5245.823355502514, 5193.9085146700245
1.3013013013013013e-07, 8012.659003638056, 7830.306222150309, 5501.641861229198, 5337.047131400431, 5260.369474286103, 5205.568488797588
1.4014014014014013e-07, 7921.173400454509, 7833.924195609994, 5526.924720928989, 5354.825646805281, 5274.285908557138, 5216.749409207092
1.5015015015015016e-07, 7835.403869032463, 7835.6493116773, 5550.933512202334, 5371.816619003964, 5287.615285658359, 5227.483157742183
1.6016016016016016e-07, 7754.937096970728, 7835.644474539892, 5573.752662528971, 5388.071446899772, 5300.396232853699, 5237.799040761308
1.7017017017017017e-07, 7679.393483259605, 7834.058826824586, 5595.460049165139, 5403.637435186053, 5312.664430957802, 5247.7240301691945
1.801801801801802e-07, 7608.424007093611, 7831.02904697252, 5616.127339359693, 5418.558171063997, 5324.452722749167, 5257.282977382092
1.901901901901902e-07, 7541.707427611667, 7826.680507754118, 5635.820566610691, 5432.873861689457, 5335.791373480384, 5266.498805176594
2.002002002002002e-07, 7478.947775380333, 7821.128312546118, 5654.600645545621, 5446.621636660742, 5346.70830409342, 5275.392679742306
2.1021021021021023e-07, 7419.872101534177, 7814.478223812396, 5672.523832824922, 5459.8358196211475, 5357.229300358615, 5283.984165235441
